编码,标签名称,分组,判断标准,范围,对象,严重程度,处理建议
extra_foot_adjustment,脚步调整较多,动作与安全,执行任务时出现较多额外脚步或频繁调整站位,区间,动捕,轻微,保留但标记
retry_pick_clothes,重新拿取衣物,衣物处理,首次拿取未成功需要再次拿取衣物,区间,画面,一般,保留但标记
clothes_drop,衣物掉落,衣物处理,衣物从手中或目标位置掉落,时间点或区间,画面,一般,待复核
retry_open_door,重新打开洗衣机门,任务执行,首次开门未成功需要重新尝试,区间,画面,一般,保留但标记
retry_place_clothes,重新放入衣物,衣物处理,首次放置未成功需要重新将衣物放入洗衣机,区间,画面,一般,保留但标记
clothes_caught_in_door,衣物被门夹住,衣物处理,关闭洗衣机门时衣物被门体或门缝夹住,时间点或区间,画面,严重,待复核
long_pause_overheat,过热导致长时间停顿,动作与安全,因人员或设备过热任务过程中出现明显长时间停顿,区间,全局,严重,待复核
body_sway,身体明显晃动,动作与安全,执行动作时身体明显晃动或稳定性不足,区间,动捕,一般,保留但标记
minor_collision,轻微碰撞,动作与安全,身体衣物或设备与周围物体发生轻微碰撞,时间点或区间,画面或动捕,轻微,保留但标记
